candidate_start_index,candidate_ts,candidate_all_pass,start_index,ts,m,n,admissible,mean_p,mean_z,dispersion_p,dispersion_z,pass,note
2926,2926.0,False,2926,2926.0,20,853,True,0.7772851433690018,0.2828587149052607,5.305968128807932e-10,-6.209777478692141,False,
2926,2926.0,False,2926,2926.0,40,426,True,0.8216072796881536,0.22547820377892416,3.098242222476787e-06,-4.664197163970676,False,
3059,3059.0,False,3059,3059.0,2,8470,True,0.9384868644849937,0.07717181330332633,1.2078633766788812e-32,-11.898297377795668,False,
3059,3059.0,False,3059,3059.0,5,3388,True,0.9965899940207914,-0.004273821712655681,1.2874191251319523e-29,-11.301672843884768,False,
3059,3059.0,False,3059,3059.0,10,1694,True,0.8897180766885098,0.13866095079178922,6.993345935726869e-16,-8.07063505461515,False,
3059,3059.0,False,3059,3059.0,20,847,True,0.9186462779687156,0.1021390848892446,4.70764038865258e-09,-5.857190141803467,False,
3059,3059.0,False,3059,3059.0,40,423,True,0.6674899649134338,0.4295954260031706,1.009834538894957e-05,-4.415056838074252,False,
3192,3192.0,False,3192,3192.0,2,8404,True,0.9838682220597242,0.02021956299787344,6.089367038730079e-25,-10.314029066080847,False,
3192,3192.0,False,3192,3192.0,5,3361,True,0.6928668669572295,0.3949675086063738,3.135669170287275e-24,-10.155385986612686,False,
3192,3192.0,False,3192,3192.0,10,1680,True,0.832624889235108,0.21133626154379692,2.87940158326067e-13,-7.299919402194153,False,
3192,3192.0,False,3192,3192.0,20,840,True,0.9506205547923335,0.061927516194469956,1.221921841250805e-07,-5.290185772087832,False,
3192,3192.0,False,3192,3192.0,40,420,True,0.915491245311576,-0.10611482953399402,8.479629930221143e-05,-3.930423702444362,False,
3325,3325.0,False,3325,3325.0,2,8337,True,0.9741247822991446,0.03243546259118366,1.8529648521338316e-21,-9.51296927824816,False,
3325,3325.0,False,3325,3325.0,5,3335,True,0.5580908077746143,0.5856796561071612,2.5858792449695926e-19,-8.985062229037734,False,
3325,3325.0,False,3325,3325.0,10,1667,True,0.6841978193504619,0.4067415510231971,1.1324425817159689e-10,-6.448122448174939,False,
3325,3325.0,False,3325,3325.0,20,833,True,0.6380821415590725,0.4703819725093001,2.365371711584262e-06,-4.719403543424213,False,
3325,3325.0,False,3325,3325.0,40,416,True,0.8254128721033271,0.22058847954447244,0.0002985069765315689,-3.6165922398275345,False,
3458,3458.0,False,3458,3458.0,2,8271,True,0.9560739726463903,0.055080950192113905,4.8228715742250325e-17,-8.390935923503193,False,
3458,3458.0,False,3458,3458.0,5,3308,True,0.6094616640577206,0.5108420470109187,1.8323426030571973e-16,-8.232573101943066,False,
3458,3458.0,False,3458,3458.0,10,1654,True,0.7946046174438475,0.26033598477119074,3.911981263936086e-09,-5.887872751468985,False,
3458,3458.0,False,3458,3458.0,20,827,True,0.7368760303824399,0.3359931521673876,1.8171920621667817e-05,-4.286244225511197,False,
3458,3458.0,False,3458,3458.0,40,413,True,0.6760929525820798,0.4178005447373821,0.0009427322611329469,-3.307082193997263,False,
3591,3591.0,False,3591,3591.0,2,8204,True,0.9567992845110432,0.054170549253968324,2.7975619718172457e-15,-7.899619462803432,False,
3591,3591.0,False,3591,3591.0,5,3281,True,0.5653802703476928,0.5748684479017266,6.001500305429818e-14,-7.508049087582665,False,
3591,3591.0,False,3591,3591.0,10,1640,True,0.5817816837042992,0.5507841019294651,5.992289750539998e-08,-5.419031089915583,False,
3591,3591.0,False,3591,3591.0,20,820,True,0.7730784816855005,0.2883504644403502,7.7907971610605e-05,-3.9507460048221685,False,
3591,3591.0,False,3591,3591.0,40,410,True,0.8056800561083426,0.24600281150170256,0.0037650228469707516,-2.89720613193794,False,
3724,3724.0,False,3724,3724.0,2,8138,True,0.9784787434815168,0.02697616651065645,1.9735647313974328e-16,-8.223677414472032,False,
3724,3724.0,False,3724,3724.0,5,3255,True,0.9719647565940767,-0.03514420008387608,9.786036495922734e-16,-8.029512971185508,False,
3724,3724.0,False,3724,3724.0,10,1627,True,0.8764711939876311,-0.15544413285241757,6.233284496565789e-09,-5.810375576144864,False,
3724,3724.0,False,3724,3724.0,20,813,True,0.9335365959003281,-0.08339609190051876,2.0120950727304304e-05,-4.2635443882474515,False,
3724,3724.0,False,3724,3724.0,40,406,True,0.7741280756583476,0.2869794233361457,0.0012995778057825092,-3.2160729763155307,False,
3857,3857.0,False,3857,3857.0,2,8071,True,0.9709256701043868,0.036447336574463925,8.867461740147117e-19,-8.848536267458753,False,
3857,3857.0,False,3857,3857.0,5,3228,True,0.6429232985446175,0.46361542846130177,5.430118751985467e-17,-8.37698408293125,False,
3857,3857.0,False,3857,3857.0,10,1614,True,0.8962414222549223,0.13041080017908377,1.997970716624322e-09,-5.997971908945804,False,
3857,3857.0,False,3857,3857.0,20,807,True,0.9751769306061477,0.03111612424737142,1.1794109838120203e-05,-4.3813594780584495,False,
3857,3857.0,False,3857,3857.0,40,403,True,0.7745070095095572,0.28648457039204583,0.0006664487866516653,-3.403022144941175,False,
3990,3990.0,False,3990,3990.0,2,8005,True,0.9478151710942896,0.06545068332766613,4.182602099113972e-17,-8.40766318364627,False,
3990,3990.0,False,3990,3990.0,5,3202,True,0.4559697408469855,0.7454996198943025,2.6057819101536803e-16,-8.190298914897037,False,
3990,3990.0,False,3990,3990.0,10,1601,True,0.5328033140560058,0.6237324413351355,4.229084869832618e-09,-5.8749744825164365,False,
3990,3990.0,False,3990,3990.0,20,800,True,0.49656126444978044,0.6799102920362372,1.6795825932578218e-05,-4.303714260383671,False,
3990,3990.0,False,3990,3990.0,40,400,True,0.8990288097746045,0.1268882965377556,0.001261445346889436,-3.224609659801665,False,
4123,4123.0,False,4123,4123.0,2,7938,True,0.9693265693270396,0.03845291845449131,6.801426430261293e-21,-9.376786155409274,False,
4123,4123.0,False,4123,4123.0,5,3175,True,0.6723339143581782,0.4229470219964357,3.869510572514716e-19,-8.940631966645125,False,
4123,4123.0,False,4123,4123.0,10,1587,True,0.8784664513443243,0.15291354858083384,1.3653152343150425e-10,-6.419712973794361,False,
4123,4123.0,False,4123,4123.0,20,793,True,0.6922519306947099,0.3958008757810982,2.614239308750423e-06,-4.699011346887768,False,
4123,4123.0,False,4123,4123.0,40,396,True,0.6734644601243764,0.42139802635142193,0.00031230678409321336,-3.60487202524431,False,
4256,4256.0,False,4256,4256.0,2,7872,True,0.9428996148135491,0.07162591630393711,7.093455042752966e-18,-8.61338472254988,False,
4256,4256.0,False,4256,4256.0,5,3148,True,0.5324908641195949,0.6242081973223854,1.7101406523871268e-17,-8.51196238194772,False,
4256,4256.0,False,4256,4256.0,10,1574,True,0.4892132058161336,0.6915607688160559,1.071790910234442e-09,-6.098334789587495,False,
4256,4256.0,False,4256,4256.0,20,787,True,0.6401205736936728,0.4675302235419756,7.499188180315231e-06,-4.479004702538892,False,
4256,4256.0,False,4256,4256.0,40,393,True,0.8854015934617394,0.14412521555318233,0.0006436974501726878,-3.4125007703912162,False,
4389,4389.0,False,4389,4389.0,2,7805,True,0.9914787466824861,0.010680010278671211,9.03025523032018e-22,-9.587434351388932,False,
4389,4389.0,False,4389,4389.0,5,3122,True,0.9431984573169142,-0.07125041582213848,5.689492568077442e-20,-9.150073308734076,False,
4389,4389.0,False,4389,4389.0,10,1561,True,0.9886341595703088,-0.014245450289985391,5.7111650526251666e-11,-6.551108219875433,False,
4389,4389.0,False,4389,4389.0,20,780,True,0.9979142789740004,0.00261406662551469,1.5555283101431064e-06,-4.803966545426128,False,
4389,4389.0,False,4389,4389.0,40,390,True,0.7113002463849201,0.3701103825858021,0.00030604202726424617,-3.610131315852687,False,
4522,4522.0,False,4522,4522.0,2,7739,True,0.960915814259881,0.049004368882523124,5.91466441210854e-25,-10.31682518777449,False,
4522,4522.0,False,4522,4522.0,5,3095,True,0.6441893345243193,0.4618493830117272,2.558371813036128e-24,-10.175213935703264,False,
4522,4522.0,False,4522,4522.0,10,1547,True,0.711971281174815,0.3692098947337222,2.3444149214910846e-13,-7.3275252600049585,False,
4522,4522.0,False,4522,4522.0,20,773,True,0.9077424667505449,0.11588653569928022,8.248801633942653e-08,-5.361600045764412,False,
4522,4522.0,False,4522,4522.0,40,386,True,0.8311677958016673,0.21320406749754847,5.89630891825484e-05,-4.0169225605927,False,
4655,4655.0,False,4655,4655.0,2,7672,True,0.9843331374086273,0.019636762297377115,3.667102972846274e-31,-11.60997791723018,False,
4655,4655.0,False,4655,4655.0,5,3069,True,0.6176003748350594,0.49925411643056106,9.053485562610344e-29,-11.129110055710557,False,
4655,4655.0,False,4655,4655.0,10,1534,True,0.7460865140091638,0.3238038859526816,1.4573213163144741e-15,-7.980508104096424,False,
4655,4655.0,False,4655,4655.0,20,767,True,0.7676514109904212,0.29544833930847847,4.916025893924865e-09,-5.849989992554027,False,
4655,4655.0,False,4655,4655.0,40,383,True,0.693085892991657,0.394670748814689,9.490767369138655e-06,-4.4284614588660345,False,
4788,4788.0,False,4788,4788.0,2,7606,True,0.9883893980646937,0.014552245148198249,1.0037339642355614e-27,-10.912573979460447,False,
4788,4788.0,False,4788,4788.0,5,3042,True,0.8303967498967265,0.2141927495614946,5.1658125482481034e-27,-10.7626583172668,False,
4788,4788.0,False,4788,4788.0,10,1521,True,0.9652847940971089,0.04352279482522305,1.5600593072455115e-14,-7.682506248934059,False,
4788,4788.0,False,4788,4788.0,20,760,True,0.9658844401999006,-0.042770549992518024,1.597779279263549e-08,-5.650719185131905,False,
4788,4788.0,False,4788,4788.0,40,380,True,0.9900026586080657,-0.012530137175340305,2.8055254333667254e-05,-4.188703598324245,False,
4921,4921.0,False,4921,4921.0,2,7539,True,0.9916271170187353,0.010494045216754459,2.793287412410909e-27,-10.819158986164005,False,
4921,4921.0,False,4921,4921.0,5,3015,True,0.7954129256525005,0.2592881449802298,3.982271730084286e-25,-10.354749609840011,False,
4921,4921.0,False,4921,4921.0,10,1507,True,0.794021115991893,0.26109257688054954,8.53521454747199e-14,-7.461794174994928,False,
4921,4921.0,False,4921,4921.0,20,753,True,0.9892376415645942,-0.01348902503000519,4.726216083732349e-08,-5.461314617793391,False,
4921,4921.0,False,4921,4921.0,40,376,True,0.9931192983089735,0.00862378759425576,4.60252300851752e-05,-4.0749449665619,False,
5054,5054.0,False,5054,5054.0,2,7473,True,0.997217633553699,0.003487186269964649,5.961008945831308e-24,-10.092534636214983,False,
5054,5054.0,False,5054,5054.0,5,2989,True,0.872340248032239,-0.16068659479534486,1.5439933269235214e-23,-9.998707301657701,False,
5054,5054.0,False,5054,5054.0,10,1494,True,0.7988400398468937,-0.2548485961454761,6.252878017794877e-13,-7.194851503486036,False,
5054,5054.0,False,5054,5054.0,20,747,True,0.968852939114855,-0.0390469717394184,1.7419788613871217e-07,-5.2249545567400695,False,
5054,5054.0,False,5054,5054.0,40,373,True,0.954593669183719,-0.05693914813089887,7.17633190498225e-05,-3.970362643025379,False,
5187,5187.0,False,5187,5187.0,2,7406,True,0.9586729143622116,0.05181900215440565,5.562741894055102e-22,-9.637308375063714,False,
5187,5187.0,False,5187,5187.0,5,2962,True,0.6774830934463345,0.41590011762009615,4.432544848098439e-20,-9.177003355825018,False,
5187,5187.0,False,5187,5187.0,10,1481,True,0.94517954750548,0.06876139518077955,5.5267606306476473e-11,-6.55600708527379,False,
5187,5187.0,False,5187,5187.0,20,740,True,0.9633072448478717,-0.04600377027527618,1.6587629975087932e-06,-4.791091686824151,False,
5187,5187.0,False,5187,5187.0,40,370,True,0.9778500742781591,0.027764381714593375,0.0003079389537014303,-3.6085282779966965,False,
5320,5320.0,False,5320,5320.0,2,7340,True,0.9958552456948174,0.005194702529407802,3.959234991410139e-19,-8.938098667204278,False,
5320,5320.0,False,5320,5320.0,5,2936,True,0.6002424792435905,0.524051846858153,2.3451952222344897e-18,-8.739319130493618,False,
5320,5320.0,False,5320,5320.0,10,1468,True,0.6203845172084765,0.4953054602379118,3.73161154054265e-10,-6.264859732082519,False,
5320,5320.0,False,5320,5320.0,20,734,True,0.840664323206035,0.20104380324808094,6.6766977378949425e-06,-4.503742890753861,False,
5320,5320.0,False,5320,5320.0,40,367,True,0.9483915349470037,0.06472678656001717,0.0007219023853465481,-3.381122929516686,False,
5453,5453.0,False,5453,5453.0,2,7273,True,0.9609303903393915,0.04898607853589459,3.1024520610631092e-22,-9.697081759495465,False,
5453,5453.0,False,5453,5453.0,5,2909,True,0.807131205494472,0.24412862253349146,2.3094367021923146e-20,-9.246971338500778,False,
5453,5453.0,False,5453,5453.0,10,1454,True,0.9092343069253127,0.1140043981917743,3.189065469044015e-11,-6.637565369484271,False,
5453,5453.0,False,5453,5453.0,20,727,True,0.8712576878450717,0.1620611648206787,1.2562937090240438e-06,-4.846546155486334,False,
5453,5453.0,False,5453,5453.0,40,363,True,0.7552872595364779,0.3116753549322891,0.00027390102623383304,-3.638809768834475,False,
